id,title,company,location,salary,required_skills,job_type,url,state
1,"Business Analyst",Bayforce,"Farmington, MI",Unknown,Snowflake,"Business Analyst",https://www.linkedin.com/company/bayforce?trk=public_jobs_topcard_logo,MI
2,"Business Analyst",Capgemini,"New Jersey, United States",Unknown,"Excel, Python","Business Analyst",https://fr.linkedin.com/company/capgemini?trk=public_jobs_topcard_logo,US
3,"Business Analyst","New York Life Insurance Company","New York, NY",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/newyorklife?trk=public_jobs_topcard_logo,NY
4,"Business Analyst (Contract)","Sony Interactive Entertainment","United States",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/sony-interactive-entertainment-llc?trk=public_jobs_topcard_logo,US
5,"Business Analyst",Amazon,"Austin, TX",Unknown,"Java, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,TX
6,"Business Analyst, DP&R",Amazon,"Bellevue, WA",Unknown,"SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
7,"Business Analyst",Amazon,"Austin, TX",Unknown,"Java, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,TX
8,"Senior Business Analyst","ISF, Inc.","Tallahassee, FL",Unknown,Excel,"Business Analyst",https://www.linkedin.com/company/isf-inc-us?trk=public_jobs_topcard_logo,FL
9,"Business Analyst","STORE Capital","Scottsdale, AZ",Unknown,"Power BI, Azure, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/store-capital?trk=public_jobs_topcard_logo,AZ
10,"Business Analyst",Brooksource,"Nashville Metropolitan Area",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/brooksource?trk=public_jobs_topcard_logo,TN
11,"Business Analyst",Aperia,"Dallas, TX",Unknown,"SQL, Azure","Business Analyst",https://www.linkedin.com/company/aperia-solutions-inc.?trk=public_jobs_topcard_logo,TX
12,"Business Analyst",Amazon,"Seattle, WA",Unknown,"Java, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
13,"Business Analyst",Amazon,"Seattle, WA",Unknown,"Java, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
14,"Business Analyst","Excelon Solutions","United States",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/excelon-solutions?trk=public_jobs_topcard_logo,US
15,"Business Analyst",Lineage,"Novi, MI",Unknown,"SQL, Excel, Power BI","Business Analyst",https://www.linkedin.com/company/onelineage?trk=public_jobs_topcard_logo,MI
16,"Business Operations | Analyst | New York","Goldman Sachs","New York, NY",Unknown,Excel,"Business Analyst",https://www.linkedin.com/company/goldman-sachs?trk=public_jobs_topcard_logo,NY
17,"Business Analyst (Junior).","Pyramid Consulting, Inc","Philadelphia, PA","$25.00/hr - $28.00/hr",Unknown,"Business Analyst",https://www.linkedin.com/company/pyramid-consulting?trk=public_jobs_topcard_logo,PA
18,"Business Analyst",Foley,"Texas, United States",Unknown,"Azure, Looker, SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/foley?trk=public_jobs_topcard_logo,US
19,"Business Analyst",Amazon,"Bellevue, WA","$50,200.00/yr - $107,400.00/yr","Power BI, Java, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
20,"Business Analyst â€“ Strategy",OneRail,"Orlando, FL",Unknown,"SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/onerail-lastmile?trk=public_jobs_topcard_logo,FL
21,"Business Analyst",Foley,"Florida, United States",Unknown,"Azure, Looker, SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/foley?trk=public_jobs_topcard_logo,US
22,"Business Analyst, AMZL",Amazon,"Seattle, WA",Unknown,"Java, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
23,"Business Analyst","Precision Technologies","United States",Unknown,SQL,"Business Analyst",https://www.linkedin.com/company/precision-technologies-corp-?trk=public_jobs_topcard_logo,US
24,"Business Analyst, Amazon Launchpad",Amazon,"Arlington, VA","$66,900.00/yr - $143,100.00/yr","SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,VA
25,"Business Analyst","Reality Defender","Manhattan, NY","$80,000.00/yr - $130,000.00/yr",Excel,"Business Analyst",https://www.linkedin.com/company/reality-defender?trk=public_jobs_topcard_logo,NY
26,"Business Analyst","TALENT Software Services","Columbia, SC",Unknown,"Attention to detail","Business Analyst",https://www.linkedin.com/company/talent-software-services?trk=public_jobs_topcard_logo,SC
27,"Business Operations Analyst (Starlink)",SpaceX,"Hawthorne, CA",Unknown,"Power BI, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/spacex?trk=public_jobs_topcard_logo,CA
28,"Business Analyst",Bayforce,"Frisco, TX",Unknown,Snowflake,"Business Analyst",https://www.linkedin.com/company/bayforce?trk=public_jobs_topcard_logo,TX
29,"Sr. Business Analyst","CGS Federal (Contact Government Services)","Houston, TX","$132,288.00/yr - $191,082.67/yr",Unknown,"Business Analyst",https://www.linkedin.com/company/contact-government-services-cgs?trk=public_jobs_topcard_logo,TX
30,"Business Analyst",Amazon,"Bellevue, WA","$66,900.00/yr - $143,100.00/yr","Java, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
31,"Senior Business Analyst, Amazon Key",Ring,"Austin, TX",Unknown,"SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/ring-labs?trk=public_jobs_topcard_logo,TX
32,"Business Analyst",Brookfield,"New York, NY",Unknown,Excel,"Business Analyst",https://www.linkedin.com/company/brookfield?trk=public_jobs_topcard_logo,NY
33,"Business Analyst",Amazon,"Bellevue, WA","$66,900.00/yr - $143,100.00/yr","Java, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
34,"Business Analyst",Foley,"South Carolina, United States",Unknown,"Azure, Looker, SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/foley?trk=public_jobs_topcard_logo,US
35,"Business Analyst, Amazon Merch on Demand",Amazon,"New York, United States",Unknown,"SQL, Tableau","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,US
36,"Business Analyst - Relocate to Saudi Arabia",aramco,"Houston, TX",Unknown,Unknown,"Business Analyst",https://sa.linkedin.com/company/aramco?trk=public_jobs_topcard_logo,TX
37,"Business Analyst","Tata Consultancy Services","Pittsburgh, PA",Unknown,"MongoDB, PostgreSQL, MySQL, SQL, Excel, Tableau","Business Analyst",https://in.linkedin.com/company/tata-consultancy-services?trk=public_jobs_topcard_logo,PA
38,"Compliance Business Analyst",AEG,"Los Angeles, CA",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/aeg?trk=public_jobs_topcard_logo,CA
39,"Business Analyst","Bath Concepts Industries, LLC","Libertyville, IL",Unknown,"Power BI, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/bath-concepts-llc?trk=public_jobs_topcard_logo,IL
40,"Business Analyst",OP,"Orlando, FL",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/orangepeople?trk=public_jobs_topcard_logo,FL
41,"Business Analyst","Rheem Manufacturing","Atlanta, GA",Unknown,Excel,"Business Analyst",https://www.linkedin.com/company/rheem-manufacturing?trk=public_jobs_topcard_logo,GA
42,"Business Analyst II (PPALJP00011449)",PayPal,"United States","$49.00/hr - $49.00/hr",Unknown,"Business Analyst",https://www.linkedin.com/company/paypal?trk=public_jobs_topcard_logo,US
43,"Business Analyst","Search Services","Houston, TX",Unknown,"SQL, Python","Business Analyst",https://www.linkedin.com/company/search-services?trk=public_jobs_topcard_logo,TX
44,"Business Analyst, ECG Analytics",Amazon,"Seattle, WA",Unknown,"SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
45,"Business Analyst, DP&R",Amazon,"Bellevue, WA","$66,900.00/yr - $143,100.00/yr","SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
46,"Business Analyst - Consulting","Lake Shore Associates, Inc.","Phoenix, AZ",Unknown,"SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/lake-shore-associates-inc.?trk=public_jobs_topcard_logo,AZ
47,"Business Analyst",iHeartMedia,"New York, NY",Unknown,Excel,"Business Analyst",https://www.linkedin.com/company/iheartmedia?trk=public_jobs_topcard_logo,NY
48,"Business Analyst","UST HealthProof","United States",Unknown,Excel,"Business Analyst",https://www.linkedin.com/company/usthealthproof?trk=public_jobs_topcard_logo,US
49,"Business Analyst, Amazon Launchpad",Amazon,"Seattle, WA","$66,900.00/yr - $143,100.00/yr","SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
50,"Business Analyst (Entry Level) Rotation Program (Hybrid NYC)","Net at Work","New York, NY",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/network?trk=public_jobs_topcard_logo,NY
51,"Business Analyst, Operational Excellence and Analytics",Amazon,"Austin, TX",Unknown,"Collaboration, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,TX
52,"Business Analyst III","Eliassen Group","Englewood, CO",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/eliassen-group?trk=public_jobs_topcard_logo,CO
53,"Business Analyst","Norwegian Cruise Line Holdings Ltd.","Miami, FL",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/norwegian-cruise-line-holdings?trk=public_jobs_topcard_logo,FL
54,"Business Analyst","Office of the New York City Comptroller","Manhattan, NY",Unknown,SQL,"Business Analyst",https://www.linkedin.com/company/officeofthenyccomptroller?trk=public_jobs_topcard_logo,NY
55,"Business Analyst, Operational Excellence and Analytics",Amazon,"Bellevue, WA",Unknown,"Collaboration, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
56,"Business Analyst",Tradeweb,"New York, NY",Unknown,"SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/tradeweb?trk=public_jobs_topcard_logo,NY
57,"Business Analyst","InterEx Group","New York City Metropolitan Area",Unknown,AWS,"Business Analyst",https://uk.linkedin.com/company/interex-group?trk=public_jobs_topcard_logo,NY
58,"Business Analyst II, Prime Video Global Operations","Prime Video & Amazon MGM Studios","Seattle, WA",Unknown,"SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/primevideoamazonstudios?trk=public_jobs_topcard_logo,WA
59,"Sr. Business Analyst","CGS Federal (Contact Government Services)","Phoenix, AZ","$132,288.00/yr - $191,082.67/yr",Unknown,"Business Analyst",https://www.linkedin.com/company/contact-government-services-cgs?trk=public_jobs_topcard_logo,AZ
60,"Business Process Analyst II","Pyramid Consulting, Inc","Charlotte, NC","$35.00/hr - $38.00/hr",Excel,"Business Analyst",https://www.linkedin.com/company/pyramid-consulting?trk=public_jobs_topcard_logo,NC
61,"Business Analyst",Amazon,"Nashville, TN","$66,900.00/yr - $143,100.00/yr","Java, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,TN
62,"Business Analyst",Amazon,"Nashville, TN","$50,200.00/yr - $107,400.00/yr","Power BI, Java, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,TN
63,"Business Analyst",Amazon,"Nashville, TN","$66,900.00/yr - $143,100.00/yr","Java, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,TN
64,"Business Analyst",Amazon,"San Diego, CA","$50,200.00/yr - $107,400.00/yr","AWS, Power BI, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,CA
65,"Digital Business Analyst","rag & bone","New York, NY","$105,000.00/yr - $110,000.00/yr",Unknown,"Business Analyst",https://www.linkedin.com/company/rag-&-bone?trk=public_jobs_topcard_logo,NY
66,"Business Analyst",Foley,"Hartford, CT",Unknown,"Azure, Looker, SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/foley?trk=public_jobs_topcard_logo,CT
67,"Business Analyst",Foley,"United States",Unknown,"Azure, Looker, SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/foley?trk=public_jobs_topcard_logo,US
68,"Business Analyst",MetaCTO,"United States","$120,000.00/yr - $150,000.00/yr","SQL, Snowflake, Tableau, Looker","Business Analyst",https://www.linkedin.com/company/metacto?trk=public_jobs_topcard_logo,US
69,"Business Analyst - AI (REMOTE)",Claritev,"Irving, TX",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/claritev?trk=public_jobs_topcard_logo,TX
70,"Executive and Business Operations Analyst","Carnival Cruise Line","Miami, FL",Unknown,"SQL, Excel, Power BI","Business Analyst",https://www.linkedin.com/company/carnival-cruise-line?trk=public_jobs_topcard_logo,FL
71,"Business Analyst","Livin' La Dolce Vita","United States",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/livin-la-dolce-vita?trk=public_jobs_topcard_logo,US
72,"Business Analyst, Amazon Merch on Demand",Amazon,"New York, United States","$66,900.00/yr - $143,100.00/yr","SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,US
73,"Business & Supply Chain Analyst","Carnival Cruise Line","Miami, FL",Unknown,"SQL, Excel, Power BI","Business Analyst",https://www.linkedin.com/company/carnival-cruise-line?trk=public_jobs_topcard_logo,FL
74,"Business Analyst","Tata Consultancy Services","Quincy, MA",Unknown,Unknown,"Business Analyst",https://in.linkedin.com/company/tata-consultancy-services?trk=public_jobs_topcard_logo,MA
75,"Business Analyst, Market Strategy",ICE,"New York, NY",Unknown,"R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/icemarkets?trk=public_jobs_topcard_logo,NY
76,"Sr. Business Analyst, Starlink Payments",SpaceX,"Hawthorne, CA",Unknown,"Tableau, Python, Power BI","Business Analyst",https://www.linkedin.com/company/spacex?trk=public_jobs_topcard_logo,CA
77,"Business Analyst",Foley,"Georgia, United States",Unknown,"Azure, Looker, SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/foley?trk=public_jobs_topcard_logo,US
78,"Business Analyst","Solomon Page","Orlando, FL",Unknown,Excel,"Business Analyst",https://www.linkedin.com/company/solomon-page-group?trk=public_jobs_topcard_logo,FL
79,"Business Analyst",Genpact,"New York, United States","$120,000.00/yr - $130,000.00/yr",Excel,"Business Analyst",https://www.linkedin.com/company/genpact?trk=public_jobs_topcard_logo,US
80,"Business Analyst","Solomon Page","Orlando, FL",Unknown,Excel,"Business Analyst",https://www.linkedin.com/company/solomon-page-group?trk=public_jobs_topcard_logo,FL
81,"Sr. Business Analyst","CGS Federal (Contact Government Services)","San Francisco, CA","$132,288.00/yr - $191,082.67/yr",Unknown,"Business Analyst",https://www.linkedin.com/company/contact-government-services-cgs?trk=public_jobs_topcard_logo,CA
82,"Business Operations Analyst",PayPal,"New York, NY",Unknown,Collaboration,"Business Analyst",https://www.linkedin.com/company/paypal?trk=public_jobs_topcard_logo,NY
83,"Business Analyst (Starlink)",SpaceX,"Redmond, WA",Unknown,"SQL, Tableau, Python, Power BI","Business Analyst",https://www.linkedin.com/company/spacex?trk=public_jobs_topcard_logo,WA
84,"Business Analyst","Webologix Ltd/ INC","United States",Unknown,"SQL, Excel","Business Analyst",https://uk.linkedin.com/company/webologix?trk=public_jobs_topcard_logo,US
85,"Business Analyst","Largeton Group","Detroit, MI",Unknown,Excel,"Business Analyst",https://www.linkedin.com/company/largeton-inc?trk=public_jobs_topcard_logo,MI
86,"Business Analyst","Makai Labs","New York, NY","$100,000.00/yr - $110,000.00/yr",Azure,"Business Analyst",https://www.linkedin.com/company/makai-labs?trk=public_jobs_topcard_logo,NY
87,"Business Analyst, ATS",Amazon,"Bellevue, WA",Unknown,"AWS, Power BI, SQL, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
88,"Business Analyst, AMZL",Amazon,"Bellevue, WA",Unknown,"Java, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
89,"Business Analyst- Internal Operations","Leadenhall Search & Selection","New York, United States",Unknown,"Excel, Power BI","Business Analyst",https://uk.linkedin.com/company/leadenhallsearch?trk=public_jobs_topcard_logo,US
90,"Business Analyst","Tata Consultancy Services","Columbus, OH",Unknown,Unknown,"Business Analyst",https://in.linkedin.com/company/tata-consultancy-services?trk=public_jobs_topcard_logo,OH
91,"Strategy Analyst I",GoFundMe,"Chicago, IL",Unknown,Looker,"Business Analyst",https://www.linkedin.com/company/gofundme?trk=public_jobs_topcard_logo,IL
92,"Business Analyst - Digital Transformation - Relocate to Saudi Arabia",aramco,"Houston, TX",Unknown,Unknown,"Business Analyst",https://sa.linkedin.com/company/aramco?trk=public_jobs_topcard_logo,TX
93,"Business Analyst, Amazon Warehousing & Distribution",Amazon,"Bellevue, WA",Unknown,"SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
94,"Business Operations Analyst","Canaan Inc.","United States",Unknown,Excel,"Business Analyst",https://sg.linkedin.com/company/canaaninc?trk=public_jobs_topcard_logo,US
